filename,width,height,class,xmin,ymin,xmax,ymax
14295e6c1c8cd41daa684ef100cca14e.jpeg,600,600,Tomates,113,234,366,453
90384_2018_04_18_19_15_08_055813.jpg,600,600,Tomates,364,148,405,216
56990_2017_07_20_21_30_33_289574.jpg,600,600,Tomates,111,306,188,393
33929_2017_04_10_18_41_47.jpg,600,600,Tomates,177,206,268,347
33929_2017_04_10_18_41_47.jpg,600,600,Tomates,353,193,441,290
8080_2016_09_14_13_14_19.jpg,600,600,Tomates,427,125,549,264
8080_2016_09_14_13_14_19.jpg,600,600,Tomates,147,385,213,483
256371_2018_05_09_18_19_12_602479.jpg,600,600,Tomates,333,331,375,383
404814_2018_05_25_17_06_06_534301.jpg,600,600,Tomates,137,122,375,421
329271_2018_04_30_14_35_06_108202.jpg,600,600,Tomates,386,114,538,317
329271_2018_04_30_14_35_06_108202.jpg,600,600,Tomates,151,455,280,601
329271_2018_04_30_14_35_06_108202.jpg,600,600,Tomates,0,61,91,214
68a982fb4e586ebad30ff3543ba303a8.jpeg,600,600,Tomates,66,191,315,520
15580_2017_01_15_12_47_34.jpg,600,600,Tomates,70,213,556,388
9df6bd35a95a44a3c69a28209a49eed8.jpeg,600,600,Tomates,284,175,406,463
19958_2017_01_29_13_07_28.jpg,600,600,Tomates,42,123,156,302
1d15c36c227b862d6e482bef7500f517.jpeg,600,600,Tomates,324,88,479,177
18735_2017_02_06_20_54_27.jpg,600,600,Tomates,297,216,601,573
23268_2017_02_17_13_02_40.jpg,600,600,Tomates,281,313,350,433
23268_2017_02_17_13_02_40.jpg,600,600,Tomates,372,290,448,356
ad21c4687c64293079da1fb799e110fd.jpeg,600,600,Tomates,126,179,458,431
302431_2018_04_26_18_14_59_052610.jpg,600,600,Tomates,292,84,403,211
b9cab18e031f11a8b0c76e6f8dd64965.jpeg,600,600,Tomates,184,106,457,320
1dad042fbad71913353da2caebdcb458.jpeg,600,600,Tomates,236,103,500,253
10767_2016_09_29_10_03_32.jpg,600,600,Tomates,246,241,544,564
e84131a3b9be5de7eeff9e6ffac9f4db.jpeg,600,600,Tomates,281,201,450,303
e84131a3b9be5de7eeff9e6ffac9f4db.jpeg,600,600,Tomates,440,294,526,358
e84131a3b9be5de7eeff9e6ffac9f4db.jpeg,600,600,Tomates,279,337,408,478
e84131a3b9be5de7eeff9e6ffac9f4db.jpeg,600,600,Tomates,415,369,496,470
20210_2017_02_02_12_06_52.jpg,600,600,Tomates,28,68,564,498
23144_2017_02_05_21_01_21.jpg,600,600,Tomates,110,262,395,478
6297_2016_07_27_14_31_20.jpg,600,600,Tomates,183,52,479,248
6a79f772642d38668809d1a7577c2221.jpeg,600,600,Tomates,356,495,453,586
316540_2018_04_25_20_52_29_485625.jpg,600,600,Tomates,69,340,143,393
316540_2018_04_25_20_52_29_485625.jpg,600,600,Tomates,501,295,572,364
316540_2018_04_25_20_52_29_485625.jpg,600,600,Tomates,315,306,372,359
224802_2018_04_19_10_08_29_129461.jpg,600,600,Tomates,130,350,263,511
404487_2018_05_24_18_27_57_023815.jpg,600,600,Tomates,145,333,220,408
404487_2018_05_24_18_27_57_023815.jpg,600,600,Tomates,207,418,278,485
404487_2018_05_24_18_27_57_023815.jpg,600,600,Tomates,183,146,264,202
404487_2018_05_24_18_27_57_023815.jpg,600,600,Tomates,271,188,340,259
20044_2017_02_01_14_38_31.jpg,600,600,Tomates,246,129,386,241
235919_2018_04_21_18_58_09_697485.jpg,600,600,Tomates,76,297,376,543
c565b7e79274f47e44f821f188c95767.jpeg,600,600,Tomates,315,180,441,408
317101_2018_04_26_11_32_56_419398.jpg,600,600,Tomates,34,218,70,321
add5b60faf8abeff5558253bd32416cb.jpeg,600,600,Tomates,195,96,269,201
add5b60faf8abeff5558253bd32416cb.jpeg,600,600,Tomates,386,241,557,382
18218_2017_02_06_20_42_01.jpg,600,600,Tomates,0,188,76,295
121538_2018_04_26_17_28_47_822960.jpg,600,600,Tomates,14,243,240,487
27f53f088cb4cde34c5a61153d7a14c5.jpeg,600,600,Tomates,114,227,162,279
27f53f088cb4cde34c5a61153d7a14c5.jpeg,600,600,Tomates,187,263,244,325
27f53f088cb4cde34c5a61153d7a14c5.jpeg,600,600,Tomates,207,453,261,501
22bab4d7c8084b6374e49712b2597ef0.jpeg,600,600,Tomates,381,203,511,394
22bab4d7c8084b6374e49712b2597ef0.jpeg,600,600,Tomates,286,203,368,357
22bab4d7c8084b6374e49712b2597ef0.jpeg,600,600,Tomates,69,259,151,361
ad61f18f1ec33089011f939f41ad1621.jpeg,600,600,Tomates,347,218,497,355
ad61f18f1ec33089011f939f41ad1621.jpeg,600,600,Tomates,173,136,372,384
ad61f18f1ec33089011f939f41ad1621.jpeg,600,600,Tomates,0,331,253,513
ad61f18f1ec33089011f939f41ad1621.jpeg,600,600,Tomates,548,118,601,250
8a927e5e7c7697d072d2bb5a647eafb3.jpeg,600,600,Tomates,124,205,232,272
259391_2018_04_17_18_20_44_450214.jpg,600,600,Tomates,109,359,347,526
259391_2018_04_17_18_20_44_450214.jpg,600,600,Tomates,338,311,579,541
21765_2017_02_04_21_17_33.jpg,600,600,Tomates,349,278,428,453
21370_2017_02_15_11_34_38.jpg,600,600,Tomates,371,165,545,342
